t  [s],z_wf_1  [m]
98.8,-0.1886735
99,-0.09922071
99.2,-0.009156439
99.4,0.07914447
99.6,0.1633897
99.8,0.2414365
100,0.3113483
100.2,0.3714417
100.4,0.420321
100.6,0.456905
100.8,0.4804441
101,0.4905334
101.2,0.4871188
101.4,0.4704978
101.6,0.441314
101.8,0.4005429
102,0.3494688
102.2,0.2896525
102.4,0.2228918
102.6,0.1511746
102.8,0.07662772
103,0.001462504
103.2,-0.07208233
103.4,-0.1418004
103.6,-0.2055801
103.8,-0.261469
104,-0.3077392
104.2,-0.34295
104.4,-0.3660054
104.6,-0.3762
104.8,-0.3732519
105,-0.3573184
105.2,-0.3289947
105.4,-0.2892962
105.6,-0.2396265
105.8,-0.1817332
106,-0.1176522
106.2,-0.04964232
106.4,0.01989167
106.6,0.08848589
106.8,0.1537132
107,0.2132841
107.2,0.2651463
107.4,0.3075743
107.6,0.3392409
107.8,0.3592629
108,0.3672159
108.2,0.3631187
108.4,0.347391
108.6,0.3207906
108.8,0.2843402
109,0.2392511
109.2,0.1868526
109.4,0.1285309
109.6,0.06568159
109.8,-3.236201e-4
110,-0.06815563
110.2,-0.1365319
110.4,-0.2042071
110.6,-0.2699508
110.8,-0.3325176
111,-0.3906129
111.2,-0.4428622
111.4,-0.4877929
111.6,-0.5238351
111.8,-0.5493486
112,-0.5626782
112.2,-0.5622356
112.4,-0.5466029
112.6,-0.5146487
112.8,-0.465646
113,-0.3993809
113.2,-0.3162438
113.4,-0.2172944
113.6,-0.1042952
113.8,0.02028914
114,0.153329
114.2,0.2911048
114.4,0.4294186
114.6,0.56374
114.8,0.6893802
115,0.801687
115.2,0.8962467
115.4,0.9690803
115.6,1.016819
115.8,1.036845
116,1.027397
116.2,0.9876286
116.4,0.9176328
116.6,0.8184342
116.8,0.6919608
117,0.5410017
117.2,0.3691523
117.4,0.1807469
117.6,-0.01922656
117.8,-0.2252361
118,-0.4313448
118.2,-0.6313802
118.4,-0.8191317
118.6,-0.988567
118.8,-1.134057
119,-1.250595
119.2,-1.334003
119.4,-1.381109
119.6,-1.389886
119.8,-1.359551
120,-1.290709
120.2,-1.185265
120.4,-1.046062
120.6,-0.8771915
120.8,-0.6837968
121,-0.471636
121.2,-0.2469585
121.4,-0.01629097
121.6,0.2137794
121.8,0.4368038
122,0.6466512
122.2,0.83766910000000006
122.4,1.004829
122.6,1.143857
122.8,1.251349
123,1.324864
123.2,1.362988
123.4,1.365359
123.6,1.332647
123.8,1.266498
124,1.169434
124.2,1.044734
124.4,0.8962976
124.6,0.7285092
124.8,0.5461096
125,0.3540751
125.2,0.1575049
125.4,-0.03848686
125.6,-0.2288822
125.8,-0.4088758
126,-0.5739981
126.2,-0.7202416
126.4,-0.8441846
126.6,-0.9431013
126.8,-1.015052
127,-1.05894
127.2,-1.074536
127.4,-1.062465
127.6,-1.024154
127.8,-0.9617514
128,-0.8780219
128.2,-0.7762222
128.4,-0.6599656
128.6,-0.53308
128.8,-0.3994654
129,-0.2629555
129.2,-0.1271878
129.4,0.004511032
129.6,0.1292203
129.8,0.244494
130,0.3483999
130.2,0.4395282
130.4,0.5169693
130.6,0.5802647
130.8,0.6293392
131,0.6644193
131.2,0.6859491
131.4,0.6945104
131.6,0.6907527
131.8,0.6753398
132,0.6489136
132.2,0.6120764
132.4,0.5653914
132.6,0.5093985
132.8,0.44464360000000003
133,0.371718
133.2,0.2913047
133.4,0.2042269
133.6,0.111496
133.8,0.01435191
134,-0.08570821
134.2,-0.1869178
134.4,-0.2872503
134.6,-0.3844524
134.8,-0.4761017
135,-0.559687
135.2,-0.6327065
135.4,-0.692777
135.6,-0.7377467
135.8,-0.7658029
136,-0.7755669
136.2,-0.7661698
136.4,-0.7373055
136.6,-0.6892585
136.8,-0.6229058
137,-0.5396947
137.2,-0.441599
137.4,-0.3310547
137.6,-0.21088
137.8,-0.08418165
138,0.04574709
138.2,0.1755343
138.4,0.3018375
138.6,0.4214469
138.8,0.5313808
139,0.6289678
139.2,0.7119134
139.4,0.7783494
139.6,0.8268651
139.8,0.8565218
140,0.8668507
140.2,0.8578383
140.4,0.8299013
140.6,0.7838545
140.8,0.720875
141,0.6424652
141.2,0.5504168
141.4,0.4467776
141.6,0.3338183
141.8,0.2140016
142,0.08994735
142.2,-0.03560698
142.4,-0.1598538
142.6,-0.2799734
142.8,-0.3932015
143,-0.4969066
143.2,-0.5886728
143.4,-0.6663824
143.6,-0.7282955
143.8,-0.7731169
144,-0.8000485
144.2,-0.8088208
144.4,-0.7997005
144.6,-0.7734761
144.8,-0.7314181
145,-0.6752201
145.2,-0.6069209
145.4,-0.5288147
145.6,-0.4433532
145.8,-0.3530451
146,-0.2603593
146.2,-0.1676364
146.4,-0.07701226
146.6,0.009641193
146.8,0.0907583
147,0.1651024
147.2,0.2317706
147.4,0.2901826
147.6,0.340055
147.8,0.3813657
148,0.41431
148.2,0.439252
148.4,0.4566747
148.6,0.4671302
148.8,0.471194
149,0.4694243
149.2,0.462331
149.4,0.4503548
149.6,0.4338601
149.8,0.4131409
150,0.3884414
150.2,0.3599866
150.4,0.3280224
150.6,0.2928569
150.8,0.2548986
151,0.2146845
151.2,0.1728925
151.4,0.1303357
151.6,0.087934590000000007
151.8,0.04667118
152,0.007527491
152.2,-0.02858517
152.4,-0.06089857
152.6,-0.08885381
152.8,-0.1121539
153,-0.130797
153.2,-0.1450851
153.4,-0.155608
153.6,-0.1632008
153.8,-0.1688806
154,-0.1737636
154.2,-0.1789718
154.4,-0.1855354
154.6,-0.1942983
154.8,-0.2058349
155,-0.2203852
155.2,-0.2378154
155.4,-0.2576066
155.6,-0.2788626
155.8,-0.3003622
156,-0.3207313
156.2,-0.3384103
156.4,-0.3518232
156.6,-0.3594972
156.8,-0.3601733
157,-0.3528223
157.2,-0.3369777
157.4,-0.3124819
157.6,-0.2795709
157.8,-0.238854
158,-0.1912668
158.2,-0.1380106
158.4,-0.08048623
158.6,-0.0202275
158.8,0.0411611
159,0.1020616
159.2,0.1608951
159.4,0.2161712
159.6,0.2665356
159.8,0.3108157
160,0.3480627
160.2,0.3775871
160.4,0.3989827
160.6,0.4121357
160.8,0.4172163
161,0.4146517
161.2,0.405084
161.4,0.3893157
161.6,0.3682494
161.8,0.3428286
162,0.3139839
162.2,0.2825893
162.4,0.2494307
162.6,0.2151875
162.8,0.1804258
163,0.1456027
163.2,0.1110784
163.4,0.07713458
163.6,0.0439957
163.8,0.01185145
164,-0.01912344
164.2,-0.04875393
164.4,-0.07685622
164.6,-0.1032368
164.8,-0.1276982
165,-0.1500505
165.2,-0.1701236
165.4,-0.187779
165.6,-0.2029171
165.8,-0.2154783
166,-0.2254391
166.2,-0.2328032
166.4,-0.2375915
166.6,-0.2398336
166.8,-0.2395618
167,-0.2368099
167.2,-0.2316162
167.4,-0.2240283
167.6,-0.2141104
167.8,-0.2019502
168,-0.1876666
168.2,-0.1714185
168.4,-0.1534156
168.6,-0.1339312
168.8,-0.1133152
169,-0.09200474
169.2,-0.0705285
169.4,-0.04949825
169.6,-0.0295856
169.8,-0.01148192
170,0.004156166
170.2,0.01677014
170.4,0.02596381
170.6,0.03155904
170.8,0.03363497
171,0.0325446
171.2,0.02890634
171.4,0.02357135
171.6,0.01757053
171.8,0.01204649
172,0.008176646
172.2,0.007093091
172.4,0.009804375
172.6,0.01712351
172.8,0.02960619
173,0.04750299
173.2,0.07072888
173.4,0.0988528
173.6,0.1311086
173.8,0.1664268
174,0.2034839
174.2,0.2407657
174.4,0.2766383
174.6,0.3094204
174.8,0.3374556
175,0.3591788
175.2,0.3731786
175.4,0.3782567
175.6,0.3734825
175.8,0.3582454
176,0.3323007
176.2,0.2958044
176.4,0.2493332
176.6,0.1938817
176.8,0.1308352
177,0.06191786
177.2,-0.01088284
177.4,-0.08540653
177.6,-0.159419
177.8,-0.2307107
178,-0.2971875
178.2,-0.3569485
178.4,-0.4083466
178.6,-0.4500332
178.8,-0.480984
179,-0.5005108
179.2,-0.5082583
179.4,-0.5041906
179.6,-0.4885684
179.8,-0.4619219
180,-0.4250215
180.2,-0.3788499
180.4,-0.3245769
180.6,-0.263537
180.8,-0.1972086
181,-0.1271915
181.2,-0.05518054
181.4,0.0170683
181.6,0.08777858
181.8,0.1552014
182,0.2176673
182.2,0.2736386
182.4,0.3217588
