t,Delta_t,x_wf,y_wf,z_wf,phi_wf,psi_wf,theta_wf,zeta
[s],[s],[m],[m],[m],[rad],[rad],[rad],[m]
23.8,0.2,-0.1021628,0.03545161,0.1271627,-0.007527437,0.001068438,0.0112453,-1.50541
24.0,0.2,-0.08911577,0.02779871,0.1725389,-0.006489168,0.00133701,0.009520022,-0.9704305
24.2,0.2,-0.07369859,0.01947342,0.2137219,-0.005238109,0.001566974,0.007535529,-0.3809897
24.4,0.2,-0.0562355,0.01044478,0.2496687,-0.003817849,0.001754354,0.005337358,0.2007513
24.6,0.2,-0.0371118,0.0006959061,0.2795375,-0.002278435,0.00189654,0.002975061,0.725217
24.8,0.2,-0.01676765,-0.009761225,0.3027015,-0.0006741256,0.001992198,0.0005007604,1.155846
25.0,0.2,0.00431001,-0.020868,0.3187465,0.0009393158,0.002041279,-0.002032064,1.467902
25.2,0.2,0.02559731,-0.03250121,0.3274537,0.002507565,0.00204506,-0.004569291,1.648472
25.4,0.2,0.0465451,-0.04445903,0.3287706,0.003980591,0.002006125,-0.007056275,1.698028
25.6,0.2,0.06659239,-0.05645527,0.3227754,0.005315014,0.001928148,-0.009437434,1.631845
25.8,0.2,0.08518181,-0.06812471,0.309642,0.006475638,0.00181543,-0.01165559,1.478978
26.0,0.2,0.1017768,-0.07904009,0.2896106,0.007436006,0.001672199,-0.0136515,1.277485
26.2,0.2,0.1158801,-0.08873852,0.2629681,0.008178043,0.001501845,-0.01536404,1.066372
26.4,0.2,0.1270526,-0.09675308,0.2300424,0.008691085,0.001306255,-0.01673136,0.8762814
26.6,0.2,0.1349314,-0.1026445,0.1912093,0.008970682,0.001085521,-0.01769321,0.7216814
26.8,0.2,0.1392449,-0.1060281,0.1469115,0.009017573,0.0008381412,-0.01819422,0.5970623
27.0,0.2,0.1398259,-0.1065941,0.09768674,0.008837093,0.0005617847,-0.01818797,0.4787521
27.2,0.2,0.1366192,-0.1041202,0.04420091,0.008439037,0.0002544954,-0.01764114,0.3325887
27.4,0.2,0.1296859,-0.09847864,-0.0127172,0.007837812,-8.390367e-05,-0.01653742,0.1260724
27.6,0.2,0.1192029,-0.08964143,-0.07204483,0.007052556,-0.0004505266,-0.01488066,-0.1580611
27.8,0.2,0.1054591,-0.07768538,-0.1325423,0.006106871,-0.0008385729,-0.01269691,-0.5111637
28.0,0.2,0.08884777,-0.06279901,-0.1927427,0.005027975,-0.001237127,-0.01003527,-0.8953274
28.2,0.2,0.06985537,-0.0452902,-0.2509606,0.00384526,-0.001631677,-0.006967428,-1.250142
28.4,0.2,0.04904725,-0.02559159,-0.3053222,0.002588528,-0.002005246,-0.003585973,-1.508966
28.6,0.2,0.02704933,-0.004259806,-0.3538218,0.001286301,-0.002339898,-1.554656e-06,-1.620064
28.8,0.2,0.004526224,0.01803531,-0.3944057,-3.531668e-05,-0.002618325,0.003661041,-1.565031
29.0,0.2,-0.01784384,0.04053365,-0.4250789,-0.001352913,-0.002825217,0.007267808,-1.366845
29.2,0.2,-0.03939614,0.06241943,-0.44403,-0.002645078,-0.002948255,0.01068128,-1.083287
29.4,0.2,-0.05950671,0.08286451,-0.4497632,-0.003890983,-0.002978655,0.01376695,-0.7872969
29.6,0.2,-0.07761745,0.1010753,-0.441225,-0.005068673,-0.002911354,0.01640002,-0.5415764
29.8,0.2,-0.09325685,0.1163379,-0.4179113,-0.006153641,-0.002744971,0.01847205,-0.3775789
30.0,0.2,-0.1060544,0.128056,-0.3799438,-0.007118172,-0.002481701,0.01989711,-0.287445
30.2,0.2,-0.115748,0.1357793,-0.3281076,-0.007931753,-0.002127233,0.02061674,-0.2318256
30.4,0.2,-0.1221842,0.1392205,-0.2638438,-0.008562555,-0.001690708,0.02060347,-0.1595783
30.6,0.2,-0.1253127,0.1382625,-0.1892008,-0.008979737,-0.001184652,0.01986231,-0.03030369
30.8,0.2,-0.125177,0.1329567,-0.1067468,-0.009156188,-0.0006247981,0.01843034,0.1699596
31.0,0.2,-0.1219024,0.1235144,-0.01945098,-0.009071274,-2.969673e-05,0.01637412,0.4256675
31.2,0.2,-0.1156845,0.110293,0.06945683,-0.008713244,0.0005798969,0.01378547,0.7008119
31.4,0.2,-0.1067771,0.09377646,0.1566399,-0.008081081,0.001181842,0.01077579,0.9541415
31.6,0.2,-0.09548211,0.07455136,0.2388119,-0.007185695,0.001753562,0.007469712,1.152772
31.8,0.2,-0.08214108,0.0532794,0.3128896,-0.006050389,0.002273043,0.00399838,1.2787
32.0,0.2,-0.06712693,0.0306676,0.3761306,-0.004710567,0.002719821,0.0004931929,1.327484
32.2,0.2,-0.05083736,0.007439046,0.4262499,-0.0032126,0.003075915,-0.002919747,1.302683
32.4,0.2,-0.0336887,-0.01569327,0.461509,-0.001611822,0.003326698,-0.00612409,1.211026
32.6,0.2,-0.01611004,-0.03804773,0.4807727,3.032791e-05,0.003461666,-0.009016531,1.061334
32.8,0.2,0.001462851,-0.05898962,0.4835349,0.001649809,0.003475057,-0.01150901,0.8664429
33.0,0.2,0.01859454,-0.07794189,0.4699153,0.003183817,0.003366234,-0.0135301,0.6445222
33.2,0.2,0.03485867,-0.09439299,0.4406324,0.004574503,0.003139749,-0.0150258,0.4162902
33.4,0.2,0.04984877,-0.107904,0.3969589,0.005772152,0.002805031,-0.01596024,0.1977199
33.6,0.2,0.06319127,-0.1181161,0.340664,0.006737483,0.002375732,-0.01631627,-0.008059753
33.8,0.2,0.07455983,-0.12476,0.2739467,0.007442968,0.001868816,-0.01609621,-0.2137753
34.0,0.2,0.08368974,-0.1276642,0.19936,0.00787324,0.001303562,-0.01532245,-0.4416594
34.2,0.2,0.09039047,-0.1267629,0.1197247,0.008024819,0.0007006389,-0.01403766,-0.7085221
34.4,0.2,0.09455454,-0.1221008,0.03803222,0.007905424,8.137652e-05,-0.0123042,-1.008812
34.6,0.2,0.0961614,-0.1138349,-0.04266596,0.007533055,-0.0005327599,-0.01020242,-1.305199
34.8,0.2,0.09527546,-0.1022328,-0.1193794,0.00693493,-0.001120547,-0.007827548,-1.53402
35.0,0.2,0.09203871,-0.08766917,-0.189306,0.006146203,-0.001661368,-0.005285317,-1.626081
35.2,0.2,0.08665883,-0.0706199,-0.2499593,0.005208395,-0.0021357,-0.002686604,-1.535037
35.4,0.2,0.07939444,-0.05165432,-0.2992844,0.004167437,-0.002525791,-0.0001415211,-1.260391
35.6,0.2,0.07053943,-0.03142385,-0.3357551,0.003071372,-0.00281652,0.002246388,-0.8532309
35.8,0.2,0.0604079,-0.01064524,-0.3584419,0.001967824,-0.002996344,0.0043853,-0.4002716
36.0,0.2,0.04932145,0.009923046,-0.3670441,0.0009014468,-0.003058188,0.006199186,0.007903372
36.2,0.2,0.03759922,0.02951168,-0.3618853,-8.845651e-05,-0.003000142,0.0076306,0.3103981
36.4,0.2,0.0255512,0.04737727,-0.3438697,-0.0009699537,-0.002825865,0.008642179,0.4958887
36.6,0.2,0.01347402,0.06284231,-0.3144086,-0.001720023,-0.002544638,0.009217025,0.599561
36.8,0.2,0.001648078,0.07533445,-0.2753226,-0.002325502,-0.002171077,0.00935823,0.6788229
37.0,0.2,-0.009665166,0.08442174,-0.2287309,-0.002783324,-0.001724484,0.009087785,0.7798524
37.2,0.2,-0.02022718,0.08984058,-0.1769396,-0.003099927,-0.00122787,0.008445044,0.9114854
37.4,0.2,-0.02982809,0.09151477,-0.1223352,-0.003289714,-0.0007066287,0.007484823,1.039182
37.6,0.2,-0.0382939,0.08956416,-0.06728932,-0.003372588,-0.0001869268,0.006275071,1.101738
37.8,0.2,-0.04549379,0.08430196,-0.01407502,-0.003370753,0.0003061116,0.004894044,1.042104
