t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
26.2,0.2,-0.07201378,-0.01346542,0.01061435,-0.7820877
26.4,0.2,-0.1045221,-0.01413904,0.01139184,-0.7718648
26.6,0.2,-0.1333365,-0.01436597,0.01183354,-0.6604269
26.8,0.2,-0.157117,-0.0141444,0.01189933,-0.4654964
27.0,0.2,-0.1745397,-0.01349669,0.01155691,-0.2217908
27.2,0.2,-0.1843539,-0.01246846,0.01078615,0.02494274
27.4,0.2,-0.185454,-0.01112532,0.009583221,0.227094
27.6,0.2,-0.1769604,-0.009547693,0.00796368,0.3454513
27.8,0.2,-0.1583012,-0.007824621,0.005964205,0.3580463
28.0,0.2,-0.1292845,-0.00604738,0.003642585,0.2653468
28.2,0.2,-0.09015364,-0.004303732,0.001075961,0.0904488
28.4,0.2,-0.04161667,-0.00267333,-0.001642496,-0.1258325
28.6,0.2,0.01515276,-0.001224481,-0.00440811,-0.3338063
28.8,0.2,0.07854382,-1.21471e-05,-0.007109969,-0.4855599
29.0,0.2,0.1465633,0.0009230863,-0.009636495,-0.544905
29.2,0.2,0.2169117,0.001555426,-0.01188092,-0.4943484
29.4,0.2,0.2870752,0.0018739,-0.01374637,-0.3376292
29.6,0.2,0.3544266,0.001882088,-0.01515025,-0.09750959
29.8,0.2,0.4163316,0.001597488,-0.016028,0.1903303
30.0,0.2,0.4702553,0.001050356,-0.01633571,0.4855477
30.2,0.2,0.5138651,0.0002819236,-0.01605199,0.7514029
30.4,0.2,0.5451271,-0.0006580528,-0.01517855,0.9610692
30.6,0.2,0.562391,-0.001714232,-0.01373987,1.100694
30.8,0.2,0.5644599,-0.002828858,-0.0117817,1.168886
31.0,0.2,0.5506414,-0.003944796,-0.009368628,1.173288
31.2,0.2,0.5207766,-0.005008128,-0.006580947,1.125645
31.4,0.2,0.475246,-0.005970079,-0.003510841,1.037059
31.6,0.2,0.4149518,-0.006788227,-0.0002583446,0.9149041
31.8,0.2,0.3412808,-0.007427078,0.003072781,0.7622425
32.0,0.2,0.2560476,-0.007858185,0.006378995,0.5796459
32.2,0.2,0.161426,-0.008060014,0.009560552,0.3685284
32.4,0.2,0.05986876,-0.008017714,0.01252455,0.1345345
32.6,0.2,-0.04597714,-0.007722869,0.01518735,-0.1104933
